e_storyteller;Storyteller;;;;;;;;;;;;;x
vampire_clan_war_tip;Clan War;;;;;;;;;;;;;x
POD_VAMPIRE_CLAN_WAR_desc;Kindred can use this Casus Belli to seize all titles held by an member of a rival clan that shares their religious group and culture.;;;;;;;;;;;;;x
CB_NAME_VAMPIRE_CLAN_WAR;Clan War for [Title.GetBaseName];Guerre Clan pour [Title.GetName];Clan Krieg um [Title.GetBaseName];;Guerra Clan por [Title.GetBaseName];;;;;;;;;x;;
WAR_NAME_VAMPIRE_CLAN_WAR;Clan War for $OTHER_TITLE$;$ORDER$ Guerre Clan pour : $OTHER_TITLE$;$ORDER$$FIRST_ADJ$ [GetOnlyDynastyName] Clan Krieg um $OTHER_TITLE$;;$ORDER$ Guerra Clan $FIRST_ADJ$ [GetOnlyDynastyName] por $OTHER_TITLE$;;;;;;;;;x;;
POD_launched_vampire_clan_war;Launched Clan War;;;;;;;;;;;;;x
EVTOPT_POD_setup_noble;You are a noble!;;;;;;;;;;;;;x
EVTOPT_POD_setup_vampire_noble;You are a vampire noble!;;;;;;;;;;;;;x
EVTOPT_POD_setup_vampire_commoner;You are a common vampire.;;;;;;;;;;;;;x
EVTOPT_POD_setup_commoner;You are a commoner.;;;;;;;;;;;;;x
CB_NAME_RELIGIOUS;Jyhad for [Title.GetBaseName];Guerre sainte pour [Title.GetName];Heiliger Krieg um [Title.GetBaseName];;Guerra Santa por [Title.GetBaseName];;;;;;;;;x;;
WAR_NAME_RELIGIOUS;$ORDER$$FIRST_ADJ$ Jyhad for $OTHER_TITLE$;$ORDER$Guerre sainte $FIRST_ADJ$ pour obtenir $OTHER_TITLE$;$ORDER$$FIRST_ADJ$ Heiliger Krieg um $OTHER_TITLE$;;$ORDER$ Guerra Santa $FIRST_ADJ$ por $OTHER_TITLE$;;;;;;;;;x;;
CB_NAME_CRUSADE;$HOLY_WAR$ for [Title.GetBaseName];$HOLY_WAR$ pour [Title.GetName];$HOLY_WAR$ um [Title.GetBaseName];;$HOLY_WAR$ por [Title.GetBaseName];;;;;;;;;x;;
JYHAD;Jyhad;;;;;;;;;;;;;x
e_voivodate;Voivodate;;;;;;;;;;;;;x
e_avalon;Baronies of Avalon;;;;;;;;;;;;;x
e_courts_of_love;Courts of Love;;;;;;;;;;;;;x
e_love;Courts of Love;;;;;;;;;;;;;x
e_fiefs_of_the_black_cross;Fiefs of the Black Cross;;;;;;;;;;;;;x
e_sea_of_shadows;Sea of Shadows;;;;;;;;;;;;;x
e_anda;Anda Horde;;;;;;;;;;;;;x
e_inconnu;Inconnu;;;;;;;;;;;;;x
e_midgard;Midgard;;;;;;;;;;;;;x
e_shadow_curtain;Shadow Curtain;;;;;;;;;;;;;x
e_ager_sanguinis;Ager Sanguinis;;;;;;;;;;;;;x
e_al-amin;al-Amin;;;;;;;;;;;;;x
e_banu_shaitan;Banu Shaitan;;;;;;;;;;;;;x
e_giovanni;Giovanni;;;;;;;;;;;;;x
e_tremere;Tremere;;;;;;;;;;;;;x
e_setite;Setites;;;;;;;;;;;;;x
e_assamites;Assamites;;;;;;;;;;;;;x
e_crescent_moon;Crescent Moon;;;;;;;;;;;;;x
e_ashina_khaganate;Ashina Khaganate;;;;;;;;;;;;;x
k_erciyes;Ericyes;Erciyes;Erciyes;;el Erciyes;;;;;;;;;;x
